City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,camacha,33.0833,-16.3333,288.83,63,40,8.75,PT,1675541845
1,avarua,-21.2078,-159.775,301.18,83,75,6.69,CK,1675541811
2,tevriz,57.509,72.4042,253.14,100,99,0.55,RU,1675541912
3,mataura,-46.1927,168.8643,294.31,74,100,2.99,NZ,1675541763
4,saint george,37.1041,-113.5841,286.72,35,0,0.89,US,1675541611
5,ushuaia,-54.8,-68.3,284.96,58,75,4.12,AR,1675541688
6,punta arenas,-53.15,-70.9167,283.21,93,100,3.09,CL,1675541593
7,rikitea,-23.1203,-134.9692,299.0,76,3,7.04,PF,1675541736
8,pevek,69.7008,170.3133,235.37,100,89,1.0,RU,1675541783
9,okha,53.5739,142.9478,244.91,99,79,4.56,RU,1675541324
10,kashary,49.04,41.0056,267.81,98,62,1.9,RU,1675541913
11,shihezi,44.3,86.0333,265.24,94,100,1.65,CN,1675541913
12,baykit,61.67,96.37,257.32,99,99,0.76,RU,1675541864
13,fort nelson,58.8053,-122.7002,258.68,68,75,1.34,CA,1675541742
14,albany,42.6001,-73.9662,261.93,43,54,0.89,US,1675541736
15,hilo,19.7297,-155.09,296.07,97,100,1.34,US,1675541810
16,norman wells,65.282,-126.8329,247.17,64,75,1.54,CA,1675541856
17,bethel,41.3712,-73.414,265.89,36,75,3.6,US,1675541807
18,ponta do sol,32.6667,-17.1,290.77,62,23,4.39,PT,1675541849
19,mar del plata,-38.0023,-57.5575,296.39,66,0,6.69,AR,1675541779
20,clyde river,70.4692,-68.5914,244.28,52,75,3.09,CA,1675541868
21,cape town,-33.9258,18.4232,295.01,83,43,4.28,ZA,1675541578
22,sinnamary,5.3833,-52.95,298.38,88,100,6.97,GF,1675541043
23,asyut,27.181,31.1837,286.33,47,90,2.9,EG,1675541914
24,isangel,-19.55,169.2667,301.21,94,75,0.0,VU,1675541869
25,vaini,-21.2,-175.2,301.24,83,40,4.12,TO,1675541854
26,bluff,-46.6,168.3333,292.23,80,100,4.89,NZ,1675541807
27,ambunti,-4.2365,142.8448,296.19,99,100,0.27,PG,1675541915
28,puerto ayora,-0.7393,-90.3518,303.13,88,34,4.02,EC,1675541758
29,east london,-33.0153,27.9116,297.6,82,100,7.59,ZA,1675541910
30,yangambi,0.8102,24.4336,296.43,44,12,1.34,CD,1675541916
31,busselton,-33.65,115.3333,296.66,45,93,3.33,AU,1675541807
32,lompoc,34.6391,-120.4579,294.27,66,0,4.12,US,1675541770
33,komsomolskiy,40.4272,71.7189,276.55,93,100,3.09,UZ,1675541862
34,jamestown,42.097,-79.2353,269.27,29,55,4.47,US,1675541793
35,tiksi,71.6872,128.8694,247.86,100,100,2.09,RU,1675541917
36,atlantic city,39.3643,-74.4229,271.49,44,0,4.12,US,1675541917
37,saskylakh,71.9167,114.0833,230.57,100,77,1.17,RU,1675541904
38,arraial do cabo,-22.9661,-42.0278,305.13,62,0,5.14,BR,1675541913
39,san policarpo,12.1791,125.5072,298.99,85,99,6.92,PH,1675541917
40,luwingu,-10.2621,29.9271,290.05,97,100,1.74,ZM,1675541918
41,ilhabela,-23.7781,-45.3581,302.5,69,92,1.83,BR,1675541754
42,porto novo,6.4965,2.6036,302.05,82,6,4.53,BJ,1675541916
43,kapaa,22.0752,-159.319,296.33,93,100,6.69,US,1675541761
44,poum,-20.2333,164.0167,300.5,79,48,2.03,NC,1675541912
45,bengkulu,-3.8004,102.2655,296.47,90,100,1.92,ID,1675541866
46,tabas,33.5959,56.9244,282.78,36,99,1.65,IR,1675541560
47,sobolevo,54.4299,31.8996,268.04,95,100,5.29,RU,1675541919
48,esperance,-33.8667,121.9,290.82,71,0,6.88,AU,1675541756
49,iqaluit,63.7506,-68.5145,237.42,66,20,6.71,CA,1675541905
50,hermanus,-34.4187,19.2345,291.93,94,19,3.33,ZA,1675541809
51,antibes,43.5624,7.1278,283.53,86,20,3.6,FR,1675541648
52,antsohihy,-14.8796,47.9875,297.03,95,86,0.62,MG,1675541919
53,pitimbu,-7.4706,-34.8086,302.48,75,21,5.23,BR,1675541920
54,longyearbyen,78.2186,15.6401,262.06,79,0,6.17,SJ,1675541861
55,acapulco,16.8634,-99.8901,304.05,48,0,3.09,MX,1675541920
56,loandjili,-4.7561,11.8578,300.02,84,21,4.28,CG,1675541920
57,alta floresta,-9.8756,-56.0861,302.05,74,40,3.09,BR,1675541921
